                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      432                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.7590805517374941E-004                  9.9996410070863562E-001                  1.6802432861771127E-003                  3.7650663791920898E-005                  7.8128379073467781E-008                  9.9996410070863562E-001                  1.6802432861771127E-003                  3.7650663791920898E-005                  7.8128379073467781E-008                 -2.1749878982908871E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749878982908871E+001                 -2.1749878982908871E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5531567585453403E+000                  4.2107684161103132E+000                  2.5223295274171020E+000                  5.6932155763460202E-001                  2.3321640799635557E-001                  5.4784789585650984E+000                 -5.4151350058047472E+000                  8.2438638218076008E+000                 -5.4151350058047472E+000                  5.4784789585650984E+000                  6.2095085822059803E-001                  8.5000496627254196E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059650E-003                  9.3604492797742158E-003                  1.0500000000000004E+001                  4.1995530354712347E+000                                        0                                        0                                        6 
                                       5                                      432                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.7537364745920395E-004                  9.9996410070863562E-001                  1.6802473075024590E-003                  3.7650663792481051E-005                  7.8128379633695055E-008                  9.9996410070863562E-001                  1.6802473075024590E-003                  3.7650663792481051E-005                  7.8128379633695055E-008                 -2.1749874774399043E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749874774399043E+001                 -2.1749874774399043E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5531123437719705E+000                  4.2106008662590426E+000                  2.5223345820382068E+000                  5.6931144839239289E-001                  2.1514969050266425E-001                  5.4784778942601111E+000                 -5.4151324034422101E+000                  8.2438646741572423E+000                 -5.4151324034422101E+000                  5.4784778942601111E+000                  6.2095085878929435E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059641E-003                  9.3604492797742158E-003                  1.0500000000000004E+001                  4.1995530354712347E+000                                        0                                        0                                        6 
                                      10                                      432                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.7358876909591798E-004                  9.9996410070863562E-001                  1.6802577171321654E-003                  3.7650663792875931E-005                  7.8128380028671204E-008                  9.9996410070863562E-001                  1.6802577171321654E-003                  3.7650663792875931E-005                  7.8128380028671204E-008                 -2.1749862102256390E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749862102256390E+001                 -2.1749862102256390E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5529192821802780E+000                  4.2098553827584162E+000                  2.5223479634712791E+000                  5.6928468552624811E-001                  2.0151593630004963E-001                  5.4784758944828091E+000                 -5.4151264633692993E+000                  8.2438672018398549E+000                 -5.4151264633692993E+000                  5.4784758944828091E+000                  6.2095085986433252E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059628E-003                  9.3604492797742141E-003                  1.0500000000000004E+001                  4.1995530354712347E+000                                        0                                        0                                        6 
                                      15                                      431                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.6737954580754096E-004                  9.9996410070863562E-001                  1.6802783946655371E-003                  3.7650663793492856E-005                  7.8128380645685181E-008                  9.9996410070863562E-001                  1.6802783946655371E-003                  3.7650663793492856E-005                  7.8128380645685181E-008                 -2.1749830956793478E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749830956793478E+001                 -2.1749830956793478E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5524724137676884E+000                  4.2081424520064097E+000                  2.5223852349204536E+000                  5.6921014262789893E-001                  2.5153549458478741E-001                  5.4784742230216885E+000                 -5.4151168957658316E+000                  8.2438733729733951E+000                 -5.4151168957658316E+000                  5.4784742230216885E+000                  6.2095086079174622E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059624E-003                  9.3604492797742141E-003                  1.0500000000000002E+001                  4.1995530354712356E+000                                        0                                        0                                        6 
                                      20                                      431                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  9.3860616905855972E-004                  9.9996410070863562E-001                  1.6803091867588068E-003                  3.7650663794220803E-005                  7.8128381373728237E-008                  9.9996410070863562E-001                  1.6803091867588068E-003                  3.7650663794220803E-005                  7.8128381373728237E-008                 -2.1749764383750392E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749764383750392E+001                 -2.1749764383750392E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5524906948568415E+000                  4.2084807983190933E+000                  2.5225178458984896E+000                  5.6894492067182678E-001                  3.6212560732284366E-001                  5.4784755109357208E+000                 -5.4151036465381175E+000                  8.2438868005252139E+000                 -5.4151036465381175E+000                  5.4784755109357208E+000                  6.2095086020688606E-001                  8.5000496627254207E-001                  1.2966439686859803E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3604492797742141E-003                  3.4416073257059606E-003                  9.3604492797742141E-003                  1.0500000000000004E+001                  4.1995530354712347E+000                                        0                                        0                                        5 
                                      25                                      431                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  7.6078570722271262E-004                  9.9996410070863562E-001                  1.6803034387572449E-003                  3.7650663794615683E-005                  7.8128381768697609E-008                  9.9996410070863562E-001                  1.6803034387572449E-003                  3.7650663794615683E-005                  7.8128381768697609E-008                 -2.1749624058743830E+001                 -9.8999999999999986E+001                 -3.7628749457997642E+001                 -2.1749624058743830E+001                 -2.1749624058743830E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5548681447487911E+000                  4.2187818899325986E+000                  2.5229134919213436E+000                  5.6815362862611918E-001                  3.9106847438757808E-001                  5.4784831874266784E+000                 -5.4150826292618781E+000                  8.2439157344031333E+000                 -5.4150826292618781E+000                  5.4784831874266784E+000                  6.2095085635325009E-001                  8.5000496627254207E-001                  1.2966439686859803E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059598E-003                  9.3604492797742141E-003                  1.0500000000000002E+001                  4.1995530354712347E+000                                        0                                        0                                        5 
                                      30                                      431                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  5.5938203314253785E-004                  9.9996190504955429E-001                  3.2634204700059816E-004                  2.3825547361440325E-005                  7.8128382478031520E-008                  9.9996190504955429E-001                  3.2634204700059816E-004                  2.3825547361440325E-005                  7.8128382478031520E-008                 -2.1749294456419129E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1749294456419129E+001                 -2.1749294456419129E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5604805092020411E+000                  4.2430083452464817E+000                  2.5238019906717852E+000                  5.6637663112523595E-001                  3.2243773939675763E-001                  5.4785041774524181E+000                 -5.4150375951230894E+000                  8.2439838856189844E+000                 -5.4150375951230894E+000                  5.4785041774524181E+000                  6.2095084571533032E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059576E-003                  9.3604492797742141E-003                  1.0500000000000007E+001                  4.1995530354712347E+000                                        0                                        0                                        4 
                                      35                                      431                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  3.5646261377905925E-004                  9.9995300329441716E-001                  8.2938940340571479E-004                  1.6912989145245770E-005                  7.8128383244895671E-008                  9.9995300329441716E-001                  8.2938940340571479E-004                  1.6912989145245770E-005                  7.8128383244895671E-008                 -2.1748517595538438E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1748517595538438E+001                 -2.1748517595538438E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5680147137491121E+000                  4.2763862774463437E+000                  2.5254225476775747E+000                  5.6313551711365717E-001                  2.1810636778628203E-001                  5.4785549782941256E+000                 -5.4149316323410215E+000                  8.2441461560424223E+000                 -5.4149316323410215E+000                  5.4785549782941256E+000                  6.2095081981371147E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3604492797742141E-003                  3.4416073257059580E-003                  9.3604492797742158E-003                  1.0500000000000004E+001                  4.1995530354712347E+000                                        0                                        0                                        4 
                                      40                                      436                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.5000000000000000E+001                  3.4474769709615863E+001                 -9.8999999999999986E+001                  1.6177443652010782E-004                  9.9992768784522179E-001                  2.3314402215318775E-004                  1.0000430928925792E-005                  7.8128383886302648E-008                  9.9992768784522179E-001                  2.3314402215318775E-004                  1.0000430928925792E-005                  7.8128383886302648E-008                 -2.1746752522513159E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1746752522513159E+001                 -2.1746752522513159E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5746208143348501E+000                  4.3075738151498149E+000                  2.5278041153578328E+000                  5.5837238175314041E-001                  1.1612198892770464E-001                  5.4786740319068805E+000                 -5.4146834531446055E+000                  8.2445263142223517E+000                 -5.4146834531446055E+000                  5.4786740319068805E+000                  6.2095075835351077E-001                  8.5000496627254196E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059567E-003                  9.3604492797742158E-003                  1.0500000000000007E+001                  4.1995530354712347E+000                                        0                                        0                                        4 
