                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      2.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1053                  1.7677669529663690E+004                  4.2474250108400469E+000                  1.9999999334383718E+000                  3.3599708431770487E+001                 -1.1424201073230403E+001                  2.9419985352206995E-001                  1.4415974736956538E-001                  7.8132281311482643E-008                  9.9999999945149998E-001                  9.9999999841493004E-001                  1.4415974736956538E-001                  7.8132281311482643E-008                  9.9999999945149998E-001                  9.9999999841493004E-001                  1.2195515131769235E+000                 -3.8013710342033029E+001                 -1.4449439791871097E+001                  1.2195515131769235E+000                  9.3100993998932047E-001                  9.0566332299216201E-001                 -3.8013710342033029E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9250433481449327E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9568231840365451E+000                  1.2013100787351241E+000                  2.1026750774709810E-001                  4.3183843191292359E+000                  4.6214283240876968E-009                  7.3259352473381769E+000                  1.8075333242034424E+000                  1.7260863805988368E+001                  1.8075333242034424E+000                  7.3259352473381769E+000                  6.2221154349147112E-001                  8.4791989584343297E-001                  1.3021313665197725E+000                  6.9585268645725240E-001                  2.8359173760610101E-001                  2.9595869169659545E-005                  9.1888908463411949E-003                  3.4416106108120033E-003                  9.3376729792512998E-003                  1.3983786686716735E+000                  5.6121092634824443E-001                                        0                                        0                                        4 
                                       2                                      620                  3.8890872965260118E+004                  4.3266062568876711E+000                  1.9999998566868136E+000                  3.3599708415104104E+001                 -1.1441519055605236E+001                  2.8150496589149943E-001                  1.3935110215077717E-001                  7.8132284531129415E-008                  9.9999999942024997E-001                  9.9999999840740050E-001                  1.0000000000000000E+000                  5.9190178476298927E-001                  1.4075249303159384E-001                  7.8132284531129415E-008                  1.2147505407535755E+000                 -3.8017497676365643E+001                 -1.4449439791871097E+001                  1.2147505407535755E+000                  9.2266965902559461E-001                  9.0458313806138169E-001                 -3.8017497676365643E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9445413606075861E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9562001631806449E+000                  1.1985804648084986E+000                  2.1014874249558679E-001                  4.3186218329658681E+000                  4.2347201725220540E-009                  7.3258999431097118E+000                  1.8074235118744919E+000                  1.7260714934945781E+001                  1.8074235118744919E+000                  7.3258999431097118E+000                  6.2221670578585786E-001                  8.4791496211738981E-001                  1.3021438396566059E+000                  6.9584287030695324E-001                  2.8360178204550773E-001                  2.9712220971999013E-005                  9.1884509121093541E-003                  3.4416106108119985E-003                  9.3376729792512894E-003                  1.3983750836541242E+000                  5.6121428074409196E-001                                        0                                        0                                        3 
                                       3                                      613                  6.4346717087975827E+004                  4.4057875029352962E+000                  1.9999997651870514E+000                  3.3599708395235176E+001                 -1.1444367536020515E+001                  2.8335956529454759E-001                  1.4094844768419745E-001                  7.8132287528731581E-008                  9.9999999942024997E-001                  9.9999999840399212E-001                  1.0000000000000000E+000                  5.9190181184242852E-001                  1.4094844768419745E-001                  7.8132287528731581E-008                  1.2125051218258305E+000                 -3.8021455963648741E+001                 -1.4449439791871097E+001                  1.2125051218258307E+000                  9.1942402247327293E-001                  9.0337802429833602E-001                 -3.8021455963648741E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9354702637596036E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9560677570417311E+000                  1.1983036881360478E+000                  2.1027516643718747E-001                  4.3183689652137440E+000                  3.7963926108860442E-009                  7.3258542110956766E+000                  1.8073208944966246E+000                  1.7260562111610216E+001                  1.8073208944966246E+000                  7.3258542110956766E+000                  6.2222287190160275E-001                  8.4790909093953593E-001                  1.3021587236534558E+000                  6.9583114623890507E-001                  2.8361363937880152E-001                  2.9790884533606839E-005                  9.1879285787261830E-003                  3.4416106108120037E-003                  9.3376729792512998E-003                  1.3983708110768767E+000                  5.6121823836953577E-001                                        0                                        0                                        3 
                                       4                                      620                  9.4893730035234679E+004                  4.4849687489829213E+000                  1.9999996554253099E+000                  3.3599708371400716E+001                 -1.1444517760245096E+001                  2.8195388015397010E-001                  1.4094845541957324E-001                  7.8132292746779797E-008                  9.9999999942024997E-001                  9.9999999840135412E-001                  1.0000000000000000E+000                  5.8727216338778987E-001                  1.4094845541957324E-001                  7.8132292746779797E-008                  1.2110405286123451E+000                 -3.8025431469995802E+001                 -9.8999999999999986E+001                  1.2110405286123451E+000                  9.1795032850467195E-001                  9.0192287417541306E-001                 -3.8025431469995802E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9294313829667424E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9560450315265547E+000                  1.1986197185253968E+000                  2.1047863266221517E-001                  4.3179620089292259E+000                  3.3495467083491029E-009                  7.3257719136783637E+000                  1.8071858770264413E+000                  1.7260339247923387E+001                  1.8071858770264413E+000                  7.3257719136783637E+000                  6.2223027758310001E-001                  8.4790204295532301E-001                  1.3021766074893226E+000                  6.9581705693329565E-001                  2.8362783545502301E-001                  2.9841678895067904E-005                  9.1873020472395522E-003                  3.4416106108119977E-003                  9.3376729792512894E-003                  1.3983656936935318E+000                  5.6122296651043313E-001                                        0                                        0                                        3 
                                       5                                      621                  1.3155014557194529E+005                  4.5641499950305455E+000                  1.9999995235535100E+000                  3.3599708342765112E+001                 -1.1443998061017258E+001                  2.8096038930842343E-001                  1.4014979503758451E-001                  7.8132297964828012E-008                  9.9999999942024997E-001                  9.9999999839903420E-001                  1.0000000000000000E+000                  5.8260282717961209E-001                  1.4014979503758451E-001                  7.8132297964828012E-008                  1.2098040615188157E+000                 -3.8029558022140804E+001                 -9.8999999999999986E+001                  1.2098040615188155E+000                  9.1713051013172442E-001                  9.0025367190773653E-001                 -3.8029558022140804E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9242719149836528E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9560527243613102E+000                  1.1991195804970283E+000                  2.1071317797851932E-001                  4.3174928896610147E+000                  2.9431433410749334E-009                  7.3256855013427895E+000                  1.8070683569169792E+000                  1.7260128766169078E+001                  1.8070683569169792E+000                  7.3256855013427895E+000                  6.2223918459976268E-001                  8.4789357192247694E-001                  1.3021981097910602E+000                  6.9580011734843716E-001                  2.8364488152816891E-001                  2.9871541129525746E-005                  9.1865494972671168E-003                  3.4416106108119998E-003                  9.3376729792512946E-003                  1.3983595681398677E+000                  5.6122862264917206E-001                                        0                                        0                                        3 
                                       6                                      629                  1.7553784421599805E+005                  4.6433312410781706E+000                  1.9999993650394370E+000                  3.3599708308344212E+001                 -1.1443263416544474E+001                  2.7981737152626285E-001                  1.3975047127601758E-001                  7.8132303737987741E-008                  9.9999999942024997E-001                  9.9999999839670572E-001                  1.0000000000000000E+000                  5.7789375418383648E-001                  1.3975047127601758E-001                  7.8132303737987741E-008                  1.2086763376982874E+000                 -3.8033719706396568E+001                 -9.8999999999999986E+001                  1.2086763376982874E+000                  9.1665928893747184E-001                  8.9844237754476930E-001                 -3.8033719706396568E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9196633385114551E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9560666059258556E+000                  1.1996734325951457E+000                  2.1096234089848831E-001                  4.3169945294001737E+000                  2.5822902126005943E-009                  7.3255972609897473E+000                  1.8069731181954840E+000                  1.7259937571373815E+001                  1.8069731181954840E+000                  7.3255972609897473E+000                  6.2224987179423064E-001                  8.4788341275659240E-001                  1.3022239022112023E+000                  6.9577979895279018E-001                  2.8366531483319901E-001                  2.9886103044922396E-005                  9.1856481050172061E-003                  3.4416106108120016E-003                  9.3376729792512981E-003                  1.3983522383153848E+000                  5.6123539381172605E-001                                        0                                        0                                        3 
                                       7                                      633                  2.2832308258886132E+005                  4.7225124871257957E+000                  1.9999991744703984E+000                  3.3599708266962651E+001                 -1.1442460144077785E+001                  2.7879213109250972E-001                  1.3935114968460205E-001                  7.8132311065459703E-008                  9.9999999942024997E-001                  9.9999999839429410E-001                  1.0000000000000000E+000                  5.7789380924818790E-001                  1.3939612308406785E-001                  7.8132311065459703E-008                  1.2075636153567366E+000                 -3.8037733339942257E+001                 -1.4449439791871097E+001                  1.2075636153567368E+000                  9.1625140103471869E-001                  8.9659340646322261E-001                 -3.8037733339942257E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9151787013808629E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9560814981294419E+000                  1.2002507782387626E+000                  2.1122122931312373E-001                  4.3164767111893463E+000                  2.2646655174406801E-009                  7.3255106853768064E+000                  1.8069115463771790E+000                  1.7259780334457620E+001                  1.8069115463771790E+000                  7.3255106853768064E+000                  6.2226270252470806E-001                  8.4787122012570137E-001                  1.3022548597604537E+000                  6.9575541327529489E-001                  2.8368983536147391E-001                  2.9892168639003767E-005                  9.1845674091120683E-003                  3.4416106108120011E-003                  9.3376729792512946E-003                  1.3983434677898914E+000                  5.6124350126171607E-001                                        0                                        0                                        3 
                                       8                                      646                  2.9166536863629729E+005                  4.8016937331734200E+000                  1.9999989453466542E+000                  3.3599708217209042E+001                 -1.1441623635972132E+001                  2.7782477656358828E-001                  1.3875216321909933E-001                  7.8132319947243900E-008                  9.9999999942024997E-001                  9.9999999839179754E-001                  1.0000000000000000E+000                  5.7314496984923002E-001                  1.3891246153404030E-001                  7.8132319947243900E-008                  1.2064997562424571E+000                 -3.8041350454506791E+001                 -9.8999999999999986E+001                  1.2064997562424569E+000                  9.1585501174210981E-001                  8.9483007089734279E-001                 -3.8041350454506791E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9109092372923973E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9561015741033976E+000                  1.2008684892159565E+000                  2.1148993285380918E-001                  4.3159392543543635E+000                  1.9860561063200500E-009                  7.3254306465411156E+000                  1.8068954304855749E+000                  1.7259673463220430E+001                  1.8068954304855749E+000                  7.3254306465411156E+000                  6.2227812252233017E-001                  8.4785657148008386E-001                  1.3022920551230368E+000                  6.9572611595920109E-001                  2.8371929527773515E-001                  2.9895110193147431E-005                  9.1832699332455598E-003                  3.4416106108119985E-003                  9.3376729792512964E-003                  1.3983329674284009E+000                  5.6125321565189368E-001                                        0                                        0                                        4 
                                       9                                      642                  3.6767611189322040E+005                  4.8808749792210451E+000                  1.9999986698362211E+000                  3.3599708157382672E+001                 -1.1440736929752108E+001                  2.7693254190394967E-001                  1.3835284732470909E-001                  7.8132330605384936E-008                  9.9999999942024997E-001                  9.9999999838925702E-001                  1.0000000000000000E+000                  5.7314504880299155E-001                  1.3846636304344520E-001                  7.8132330605384936E-008                  1.2056271189313552E+000                 -3.8044269434664393E+001                 -9.8999999999999986E+001                  1.2056271189313552E+000                  9.1563333725476126E-001                  8.9327313009360376E-001                 -3.8044269434664393E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9074580120814818E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9561345875858209E+000                  1.2015575840782711E+000                  2.1176845332012009E-001                  4.3153821535953751E+000                  1.7417414307080986E-009                  7.3253633227561394E+000                  1.8069317768234079E+000                  1.7259629852762352E+001                  1.8069317768234079E+000                  7.3253633227561394E+000                  6.2229663576418637E-001                  8.4783898991577211E-001                  1.3023367009065709E+000                  6.9569095245905865E-001                  2.8375465254466736E-001                  2.9897539752698745E-005                  9.1817141218718517E-003                  3.4416106108120016E-003                  9.3376729792512998E-003                  1.3983204019881754E+000                  5.6126484956028466E-001                                        0                                        0                                        4 
