loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,st_sp,st_spstr,st_glon,st_glat,st_elon,st_elat
1,11 Com,11 Com b,Radial Velocity,1,326.03,1.29,0.231,,19.4,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4.74,4742.0,2.7,19.0,,,2007,5.0,K0 III,264.140892,78.28052199999998,177.42238799999998,18.333765
2,11 UMi,11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,,14.74,,,15h17m05.89s,229.27453599999998,+71d49m26.0s,71.823898,125.72,5.016,4213.0,2.78,29.79,,,2009,5.4,K4 III,108.718982,41.044516,141.647144,74.958184
3,14 And,14 And b,Radial Velocity,1,185.84,0.83,0.0,,4.8,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,5.227,4813.0,2.2,11.0,,,2008,4.8,G8 III,106.411558,-21.05061,11.962116,38.229937
4,14 Her,14 Her b,Radial Velocity,1,1773.4000199999996,2.93,0.37,,4.66,,,16h10m24.31s,242.60130299999997,+43d49m03.5s,43.817646,17.94,6.61,5338.0,0.9,0.93,,,2002,5.0,K0 V,69.170376,46.944999,223.24872799999997,62.879798
5,16 Cyg B,16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,,1.78,,,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,6.25,5750.0,1.08,1.13,,,1996,4.25,G2.5 V,83.33646,13.204351999999998,321.21805,69.468372
6,18 Del,18 Del b,Radial Velocity,1,993.3,2.6,0.08,,10.3,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,5.506,4979.0,2.3,8.5,,,2008,4.6,G6 III,58.691434,-21.974824,320.591213,26.786858000000002
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,Imaging,1,,330.0,,,8.0,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.0,,4060.0,0.85,,3000.0,,2008,5.7,K7 V,352.89056,22.030427,244.365684,-0.06841
8,24 Boo,24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,,0.91,,,14h28m37.81s,217.15754700000002,+49d50m41.5s,49.844852,96.25,5.58,4893.0,0.99,10.64,,,2018,4.3,G3 IV,90.162223,60.643666,185.925162,58.888906999999996
9,24 Sex,24 Sex b,Radial Velocity,2,452.8,1.3330000000000002,0.09,,1.99,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,6.441,5098.0,1.54,4.9,,,2010,5.0,K0 IV,245.085309,44.71573400000001,157.99358999999998,-10.198148
10,24 Sex,24 Sex c,Radial Velocity,2,883.0,2.08,0.29,,0.86,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,6.441,5098.0,1.54,4.9,,,2010,5.0,K0 IV,245.085309,44.71573400000001,157.99358999999998,-10.198148
